	dg_d	dg_v	ca3_d	ca3_v	ca2	ca1_d	ca1_i	ca1_v	sst	pv
ENSMUSG00000001227	7.00784	5.78047	9.2603	9.33432	9.65654	8.4729	8.27304	7.06673	10.6112	10.7335
ENSMUSG00000001228	0	0.033621	0	0.0273365	0	0.0616017	0	0	0.161603	0.28964
ENSMUSG00000001229	7.49255	5.11349	12.3673	11.7292	5.32751	12.3787	10.7948	10.3272	8.21063	10.0832
ENSMUSG00000001240	11.2994	3.08523	13.1304	21.8324	1.50538	11.6698	14.7964	9.28588	13.7474	1.01096
ENSMUSG00000001247	0.103253	0.0109354	0.0284423	0.0827508	0.032463	0.160408	0.0454019	0.0880204	0.471748	0.217452
ENSMUSG00000001248	21.7107	9.93091	12.812	11.0242	11.3387	11.0953	9.95572	10.8737	9.63947	10.4856
ENSMUSG00000001249	0.888407	0.121801	0.133518	0.0818646	0.228384	0.245223	0.189214	0.0774522	0.84411	1.09339
ENSMUSG00000001260	0.0303848	0.449853	0.472555	1.53764	1.23178	0.37445	0.944517	2.1794	4.11699	0.122274
ENSMUSG00000001270	198.577	48.2257	154.231	112.256	156.244	268.483	167.274	133.231	230.969	644.295
ENSMUSG00000001280	7.45682	7.96811	3.22507	2.63238	3.81305	4.7838	3.9666	5.24922	6.05501	5.86104
ENSMUSG00000001281	1.0204	0.154604	0.00738033	0.141952	0.0596955	0.057873	0.0609683	0.596733	0.143326	0.0215748
ENSMUSG00000001285	12.1582	21.7453	16.3741	23.2637	23.1398	22.0418	19.9693	29.9662	15.1562	24.763
ENSMUSG00000001288	0.41922	1.19214	0.291345	0.249987	0.0785768	0.13053	0.979154	0.495955	0.383191	0.038659
ENSMUSG00000001289	74.3948	55.9882	78.7563	85.8267	74.2723	129.933	117.968	85.8656	204.426	174.687
ENSMUSG00000001300	2.90369	32.8251	2.46964	13.7841	1.61806	14.3381	28.2327	46.5676	11.8752	16.9394
ENSMUSG00000001305	1.72273	2.94839	2.36639	3.1608	2.52116	4.69804	5.86332	5.31259	3.02062	4.73897
ENSMUSG00000001313	0.0351808	19.2837	1.47282	22.0538	0.430789	0.257138	0.108567	0.675909	15.6684	81.0165
ENSMUSG00000001323	67.4095	103.561	96.779	87.634	110.399	109.327	104.939	110.311	48.5196	22.8913
ENSMUSG00000001333	0.0708406	0.193472	0.119817	0.846153	0.432365	0.0355668	0.120045	0.0370561	0.0149533	0.0393491
ENSMUSG00000001334	33.7777	8.09867	47.502	38.1098	103.264	60.0313	45.3538	23.5002	53.5329	92.3027
ENSMUSG00000001348	0	0	0.0146059	0.0669824	0.0882133	0.609973	0.0319722	0	0	0
ENSMUSG00000001349	0	0.450992	0.0833404	0.0279882	0.0219283	0.116005	0	0	0.126003	0.0599322
ENSMUSG00000001366	34.3316	22.7085	25.7583	35.1055	41.2232	26.8121	27.4013	32.721	46.396	74.5836
ENSMUSG00000001376	31.3418	37.43	55.2154	45.0738	56.6101	62.2269	53.5979	50.3851	27.8104	41.4246
ENSMUSG00000001379	8.82381	6.37041	3.9796	4.971	2.75801	6.09128	4.53327	3.57941	5.93802	6.05492
ENSMUSG00000001380	19.5758	13.7656	29.4943	27.913	31.7488	24.1194	30.9719	31.7774	37.1908	32.8048
ENSMUSG00000001383	65.9387	52.6861	82.4795	63.912	83.4388	68.6909	74.4219	62.3671	58.3236	70.5658
ENSMUSG00000001403	0.152156	0.445363	0.25519	0.469385	0.182939	0.377097	0.409105	0	0.468536	0.956201
ENSMUSG00000001415	8.2682	5.00641	5.09162	3.63981	4.48266	5.20564	4.51739	5.35858	6.90429	6.84108
ENSMUSG00000001416	33.9688	40.3201	38.5993	51.9094	51.2464	46.3018	50.7487	58.8115	97.9295	134.884
ENSMUSG00000001417	0	0	0	0	0	0.0357917	0	0	0	0.0219803
